              wave               response
------------------ ----------------------
            6450.0   1.87223511293199e-11
 6450.944767441861 1.8697329029950013e-11
 6451.889534883721   1.86723069305801e-11
 6452.834302325582 1.8647284831210214e-11
 6453.779069767443 1.8622262731840327e-11
 6454.723837209303  1.859724063247044e-11
 6455.668604651164 1.8572218533100554e-11
 6456.613372093025 1.8547196433730668e-11
 6457.558139534885 1.8522174334360756e-11
 6458.502906976746  1.849715223499087e-11
 6459.447674418607 1.8433816534219978e-11
 6460.392441860467  1.846011794989742e-11
 6461.337209302328  1.845002195996504e-11
 6462.281976744189 1.8436140704721642e-11
6463.2267441860495 1.8383103694074046e-11
  6464.17151162791  1.829182372339752e-11
 6465.116279069771  1.831044180693025e-11
6466.0610465116315 1.8299548753788194e-11
 6467.005813953492 1.8277677530990393e-11
 6467.950581395353   1.82526142265812e-11
6468.8953488372135 1.8226785334267928e-11
 6469.840116279074 1.8197987340129146e-11
 6470.784883720935 1.8173908244366525e-11
 6471.729651162796 1.8150334074665977e-11
 6472.674418604656 1.8127264831027513e-11
 6473.619186046517 1.8104700513451123e-11
 6474.563953488378  1.808264112193681e-11
 6475.508720930238 1.8061086656484575e-11
 6476.453488372099 1.8040037117094416e-11
  6477.39825581396  1.802607877209786e-11
  6478.34302325582 1.7998366134198538e-11
 6479.287790697681  1.797625865346663e-11
 6480.232558139542  1.795782676651769e-11
 6481.177325581402 1.7938120831967693e-11
 6482.122093023263 1.7918477075471294e-11
 6483.066860465124   1.78988954970285e-11
 6484.011627906984  1.788183196158147e-11
 6484.956395348845 1.7862208852622144e-11
 6485.901162790706 1.7842482035092706e-11
 6486.845930232566 1.7822651508993148e-11
 6487.790697674427 1.7802717274323474e-11
 6488.735465116288 1.7782679331083684e-11
 6489.680232558148 1.7762537679273768e-11
 6490.625000000009 1.7742292318893742e-11
  6491.56976744187 1.7717029277603657e-11
  6492.51453488373 1.7702567484755313e-11
 6493.459302325591 1.7681821802936248e-11
 6494.404069767452 1.7659124495873024e-11
6495.3488372093125 1.7637514661493734e-11
 6496.293604651173 1.7615656074143723e-11
 6497.238372093034 1.7593040236770978e-11
6498.1831395348945 1.7569803768636074e-11
 6499.127906976755 1.7546687216306487e-11
 6500.072674418616 1.7525397592514422e-11
6501.0174418604765 1.7503699920403855e-11
 6501.962209302337 1.7480985300779622e-11
 6502.906976744198 1.7454042000044722e-11
 6503.851744186059 1.7428049976256734e-11
 6504.796511627919 1.7401348856178924e-11
  6505.74127906978 1.7378852612151237e-11
 6506.686046511641  1.735114490698977e-11
 6507.630813953501 1.7322781688790815e-11
 6508.575581395362 1.7293958127272758e-11
 6509.520348837223 1.7264674222435604e-11
 6510.465116279083  1.723492997427934e-11
 6511.409883720944  1.720192704122744e-11
 6512.354651162805  1.716847621163755e-11
 6513.299418604665  1.713834617232503e-11
 6514.244186046526 1.7105907331911086e-11
 6515.188953488387 1.7073394667251726e-11
 6516.133720930247 1.7041417077542118e-11
 6517.078488372108 1.7013186296379268e-11
 6518.023255813969 1.6980173239002166e-11
 6518.968023255829   1.69530123307655e-11
  6519.91279069769 1.6920541277177438e-11
 6520.857558139551  1.689267083631136e-11
 6521.802325581411  1.686537577142407e-11
 6522.747093023272 1.6838656082515554e-11
 6523.691860465133  1.681251176958581e-11
 6524.636627906993  1.678694283263485e-11
 6525.581395348854 1.6765256110291215e-11
 6526.526162790715 1.6742535220084858e-11
6527.4709302325755   1.67176100591134e-11
 6528.415697674436 1.6690874438746726e-11
 6529.360465116297 1.6670284057809302e-11
6530.3052325581575 1.6645198774198036e-11
 6531.250000000018  1.662216198690088e-11
 6532.194767441879 1.6606934441464453e-11
6533.1395348837395  1.658553480759486e-11
   6534.0843023256 1.6570926673613393e-11
 6535.029069767461 1.6553199281446648e-11
 6535.973837209322 1.6536377867837836e-11
 6536.918604651182 1.6520462432786968e-11
 6537.863372093043 1.6505452976294036e-11
 6538.808139534904 1.6482668321777862e-11
 6539.752906976764  1.646810210800058e-11
 6540.697674418625 1.6450664338003835e-11
 6541.642441860486 1.6439706061062523e-11
 6542.587209302346  1.642575861093364e-11
 6543.531976744207  1.641505090324045e-11
 6544.476744186068  1.640916232884839e-11
 6545.421511627928 1.6401549488769494e-11
 6546.366279069789 1.6389800764160577e-11
  6547.31104651165  1.637892343319757e-11
  6548.25581395351 1.6367116202051033e-11
 6549.200581395371 1.6354379070720968e-11
 6550.145348837232 1.6340712039207375e-11
 6551.090116279092  1.632611510751025e-11
 6552.034883720953   1.63105882756296e-11
 6552.979651162814   1.63028127201466e-11
 6553.924418604674  1.628679480229913e-11
 6554.869186046535 1.6275593493897356e-11
 6555.813953488396 1.6256518615185938e-11
6556.7587209302565  1.624256759968457e-11
 6557.703488372117 1.6219555832945543e-11
 6558.648255813978 1.6196544066206513e-11
6559.5930232558385 1.6173532299467484e-11
 6560.537790697699  1.615052053272845e-11
  6561.48255813956 1.6127508765989425e-11
6562.4273255814205 1.6103614944500308e-11
 6563.372093023281 1.6073620301401772e-11
 6564.316860465142 1.6044822705948397e-11
 6565.261627907003 1.6011071466158302e-11
 6566.206395348863 1.5975640995285045e-11
 6567.151162790724  1.593684350779629e-11
 6568.095930232585 1.5898970240382885e-11
 6569.040697674445  1.586029653373319e-11
 6569.985465116306   1.58167611757127e-11
 6570.930232558167 1.5774439580783407e-11
 6571.875000000027 1.5739731817001824e-11
 6572.819767441888 1.5701306202922787e-11
 6573.764534883749 1.5666914098556332e-11
 6574.709302325609 1.5633472044077827e-11
  6575.65406976747  1.560098003948728e-11
 6576.598837209331 1.5570935524851922e-11
 6577.543604651191  1.554428367531854e-11
 6578.488372093052  1.552154814179012e-11
 6579.433139534913  1.550520702417646e-11
 6580.377906976773 1.5491985909224016e-11
 6581.322674418634 1.5483572582465107e-11
 6582.267441860495 1.5475675807208888e-11
 6583.212209302355 1.5470020242767006e-11
 6584.156976744216 1.5470667101273958e-11
 6585.101744186077 1.5471540968267753e-11
 6586.046511627937  1.546624177569189e-11
 6586.991279069798 1.5466101204991516e-11
 6587.936046511659  1.546336789615661e-11
6588.8808139535195 1.5457095916526925e-11
  6589.82558139538 1.5456617667129322e-11
 6590.770348837241 1.5456723492854403e-11
6591.7151162791015 1.5459850252729337e-11
 6592.659883720962 1.5456693160010113e-11
 6593.604651162823 1.5455568760620198e-11
6594.5494186046835 1.5454636806982345e-11
 6595.494186046544 1.5453897299096557e-11
 6596.438953488405  1.545079987721831e-11
 6597.383720930266 1.5450251634391122e-11
 6598.328488372126 1.5449645267802913e-11
 6599.273255813987 1.5448955493328094e-11
 6600.218023255848  1.544818231096667e-11
 6601.162790697708 1.5447325720718645e-11
 6602.107558139569 1.5446385722584008e-11
  6603.05232558143 1.5449391709047627e-11
  6603.99709302329 1.5447011279082653e-11
 6604.941860465151 1.5443838702481325e-11
 6605.886627907012 1.5441710711929026e-11
 6606.831395348872 1.5442110574012196e-11
 6607.776162790733  1.544039433487945e-11
 6608.720930232594 1.5438402242108032e-11
 6609.665697674454 1.5436134295697945e-11
 6610.610465116315 1.5436140855393713e-11
 6611.555232558176  1.543351482815181e-11
 6612.500000000036 1.5430863516784328e-11
 6613.444767441897 1.5428212205416848e-11
 6614.389534883758 1.5425560894049358e-11
 6615.334302325618 1.5422909582681878e-11
 6616.279069767479  1.542025827131439e-11
  6617.22383720934 1.5417606959946908e-11
   6618.1686046512 1.5414955648579422e-11
 6619.113372093061 1.5412304337211942e-11
 6620.058139534922  1.540965302584446e-11
6621.0029069767825 1.5406852031845252e-11
 6621.947674418643  1.540389237141305e-11
 6622.892441860504 1.5397519018748697e-11
6623.8372093023645 1.5394322706418788e-11
 6624.781976744225 1.5391801009057428e-11
 6625.726744186086  1.538292632707114e-11
6626.6715116279465 1.5376557515183064e-11
 6627.616279069807 1.5369423858752032e-11
 6628.561046511668 1.5361525357778043e-11
 6629.505813953529 1.5353835986832123e-11
 6630.450581395389 1.5342285246689767e-11
  6631.39534883725  1.533254240365013e-11
 6632.340116279111  1.532410816456146e-11
 6633.284883720971  1.531260409341317e-11
 6634.229651162832 1.5300474726689145e-11
 6635.174418604693 1.5287869747021102e-11
 6636.119186046553 1.5274362678769874e-11
 6637.063953488414  1.526327636339255e-11
 6638.008720930275  1.524893065290453e-11
 6638.953488372135 1.5233162471666885e-11
 6639.898255813996 1.5222999419273085e-11
 6640.843023255857  1.520662494941877e-11
 6641.787790697717 1.5196048066990592e-11
 6642.732558139578 1.5185045044022394e-11
 6643.677325581439 1.5170950265746997e-11
 6644.622093023299  1.515951075935411e-11
  6645.56686046516 1.5142379524096407e-11
 6646.511627907021 1.5126873086444534e-11
 6647.456395348881 1.5115482256936766e-11
 6648.401162790742 1.5102017673678014e-11
 6649.345930232603 1.5088424959198604e-11
 6650.290697674463  1.507513957293898e-11
 6651.235465116324 1.5062093699241202e-11
 6652.180232558185 1.5048376753523276e-11
6653.1250000000455 1.5034654236790028e-11
 6654.069767441906  1.502092614904147e-11
 6655.014534883767 1.5010150181858806e-11
6655.9593023256275  1.498998072113636e-11
 6656.904069767488 1.4974437562738444e-11
 6657.848837209349 1.4963463273776095e-11
6658.7936046512095 1.4947318712896166e-11
  6659.73837209307 1.4937509396557244e-11
 6660.683139534931   1.49228099402921e-11
 6661.627906976792 1.4907914412074864e-11
 6662.572674418652 1.4895263858922228e-11
 6663.517441860513 1.4882912658303876e-11
 6664.462209302374 1.4871242416901303e-11
 6665.406976744234 1.4858995178912894e-11
 6666.351744186095  1.484738689823381e-11
 6667.296511627956 1.4836091867928883e-11
 6668.241279069816 1.4825110087998113e-11
 6669.186046511677   1.48144415584415e-11
 6670.130813953538  1.480889126230939e-11
 6671.075581395398 1.4798250685109313e-11
 6672.020348837259  1.478625272725834e-11
  6672.96511627912 1.4780032890456245e-11
  6673.90988372098 1.4769025206565863e-11
 6674.854651162841  1.476260366831315e-11
 6675.799418604702 1.4750894410798268e-11
 6676.744186046562 1.4740060237633394e-11
 6677.688953488423 1.4728873916007848e-11
 6678.633720930284  1.471344618270125e-11
 6679.578488372144  1.470059291823254e-11
 6680.523255814005 1.4690478314850682e-11
 6681.468023255866  1.467643439301435e-11
 6682.412790697726 1.4665281540803184e-11
 6683.357558139587 1.4651638359596048e-11
 6684.302325581448 1.4639282779651344e-11
6685.2470930233085 1.4628725445516508e-11
 6686.191860465169  1.461155402001782e-11
  6687.13662790703 1.4597919414330566e-11
6688.0813953488905  1.458532643715587e-11
 6689.026162790751  1.457076243380356e-11
 6689.970930232612 1.4562278475699456e-11
6690.9156976744725 1.4548051310708364e-11
 6691.860465116333 1.4538657358819281e-11
 6692.805232558194 1.4531722369129267e-11
 6693.750000000055 1.4522173417623486e-11
 6694.694767441915 1.4509463355030522e-11
 6695.639534883776 1.4500585867826856e-11
 6696.584302325637 1.4488720567932858e-11
 6697.529069767497 1.4479248853969658e-11
 6698.473837209358   1.44671951364887e-11
 6699.418604651219  1.445446121753689e-11
 6700.363372093079 1.4447475606955971e-11
  6701.30813953494  1.443572140993111e-11
 6702.252906976801 1.4427386161550806e-11
 6703.197674418661 1.4414138049326537e-11
 6704.142441860522 1.4400712689246054e-11
 6705.087209302383 1.4393479376647173e-11
 6706.031976744243 1.4380409517384802e-11
 6706.976744186104 1.4368620457953018e-11
 6707.921511627965 1.4357627197649312e-11
 6708.866279069825 1.4346596739601003e-11
 6709.811046511686 1.4338039684649444e-11
 6710.755813953547 1.4323923138839419e-11
 6711.700581395407 1.4312978207030868e-11
 6712.645348837268 1.4301966616875707e-11
 6713.590116279129  1.429088836837394e-11
6714.5348837209895 1.4279743461525568e-11
  6715.47965116285 1.4269824991658322e-11
 6716.424418604711 1.4257178801109313e-11
6717.3691860465715  1.424931443239515e-11
 6718.313953488432 1.4234371415454082e-11
 6719.258720930293 1.4222185484392025e-11
6720.2034883721535 1.4211283825790186e-11
 6721.148255814014  1.420043100059632e-11
 6722.093023255875 1.4189627008810428e-11
6723.0377906977355 1.4178871850432507e-11
 6723.982558139596 1.4165654924621203e-11
 6724.927325581457 1.4158009125331728e-11
 6725.872093023318  1.414720334770415e-11
 6726.816860465178 1.4134483303217764e-11
 6727.761627907039 1.4121842317141964e-11
   6728.7063953489 1.4111029863914188e-11
  6729.65116279076 1.4100258379122602e-11
 6730.595930232621 1.4089527862767199e-11
 6731.540697674482 1.4077707397932439e-11
 6732.485465116342 1.4072407025603033e-11
 6733.430232558203 1.4063203179704496e-11
 6734.375000000064   1.40496589495732e-11
 6735.319767441924 1.4040837721303502e-11
 6736.264534883785  1.402744674343679e-11
 6737.209302325646 1.4017058062940102e-11
 6738.154069767506  1.400668066897846e-11
 6739.098837209367 1.3996314561551856e-11
 6740.043604651228 1.3987464004353758e-11
 6740.988372093088  1.397977034359056e-11
 6741.933139534949 1.3970261253774734e-11
  6742.87790697681 1.3962294506292459e-11
  6743.82267441867 1.3950927183137337e-11
 6744.767441860531 1.3939761691736925e-11
 6745.712209302392 1.3929389432114758e-11
6746.6569767442525  1.392115001649567e-11
 6747.601744186113 1.3912940880803936e-11
