        wave                 x_0                   y_0              gamma              alpha              ratio
------------ ------------------- --------------------- ------------------ ------------------ ------------------
4551.1171875  0.4500838851198413    0.3099875177351237  4.031551555031058  8.650900238508711 0.9452289444855311
4601.1171875 0.45013793835737714    0.2842923660851149 3.8360251195944386  8.144193070246047 0.9422734481670285
4651.1171875  0.4501619037608525     0.259600984726724   3.65255453123018  7.670004199105961 0.9394392128471978
4701.1171875 0.45015683198320455    0.2358861607903986  3.480768657684223  7.227318332431537 0.9367242646539451
4751.1171875  0.4501237736773699   0.21312068140658624  3.320296366702479  6.815120177565859 0.9341266297151791
4801.1171875 0.45006377949628595    0.1912773337057292 3.1707665260311444  6.432394441852807 0.9316443341588065
4851.1171875  0.4499779000928895     0.170328904818275  3.031808003416131   6.07812583263501 0.9292754041127351
4901.1171875 0.44986718612011756    0.1502481818746677  2.903049666603465  5.751299057256006 0.9270178657048722
4951.1171875 0.44973268823090706   0.13100795200535664    2.7841203833392 5.4508988230592195 0.9248697450631265
5001.1171875 0.44957545707819524    0.1125810023407805  2.674649021369248  5.175909837387621 0.9228290683154037
5051.1171875 0.44939654331491874   0.09494012001138863 2.5742644484397204 4.9253168075848635 0.9208938615896127
5101.1171875 0.44919699759401477   0.07805809214762682  2.482595532296614  4.698104440993802 0.9190621510136612
5151.1171875  0.4489778705684203   0.06190770587994443 2.3992711406859257   4.49325744495809 0.9173319627154561
5201.1171875 0.44874021289107235   0.04646174833878014 2.3239201413536534  4.309760526820696 0.9157013228229054
5251.1171875  0.4484850752149079   0.03169300665457975  2.256171402045794  4.146598393925046 0.9141682574639165
5301.1171875  0.4482135081928639  0.017574267957796152 2.1956537905084588  4.002755753614451 0.9127307927663966
5351.1171875  0.4479265624778772  0.004078319378864492  2.141996174487531  3.877217313231995  0.911386954858254
5401.1171875  0.4476252887228851 -0.008822051951762333 2.0948274217291214 3.7689677801213293 0.9101347698673954
5451.1171875  0.4473107375808246 -0.021154058903634976  2.053776399979256 3.6769918616253108 0.9089722639217288
5501.1171875 0.44698395970463234   -0.0329449143463183 2.0184719769839035 3.6002742650873643 0.9078974631491619
5551.1171875 0.44664600574724544 -0.044221831149362956 1.9885430204889758 3.5377996978509145 0.9069083936776021
5601.1171875 0.44629792636160115 -0.055012022182316045  1.963618398240726 3.4885528672590453 0.9060030816349571
5651.1171875  0.4459407722006362  -0.06534270031474598 1.9433269779848956 3.4515184806551815 0.9051795531491338
5701.1171875 0.44557559391728774  -0.07524107841619632 1.9272976274677376 3.4256812453825205 0.9044358343480403
5751.1171875  0.4452034421644925  -0.08473436935622125  1.915159214435107  3.410025868784146 0.9037699513595849
5801.1171875   0.444825367595188  -0.09384978600438565 1.9065406066330866 3.4035370582037103 0.9031799303116737
5851.1171875 0.44444242086231067  -0.10261454123024016 1.9010706718077017 3.4051995209841834 0.9026637973322154
5901.1171875 0.44405565261879787  -0.11105584790332479 1.8983782777048646  3.413997964469104 0.9022195785491167
5951.1171875 0.44366611351758645  -0.11920091889321505 1.8980922920707144 3.4289170960014417 0.9018453000902866
6001.1171875 0.44327485421161317  -0.12707696706945448   1.89984158265122 3.4489416229246217 0.9015389880836309
6051.1171875 0.44288292535381535  -0.13471120530159375 1.9032550171923504 3.4730562525820687 0.9012986686570574
6101.1171875  0.4424913775971301  -0.14213084645920127 1.9079614634401878 3.5002456923169802 0.9011223679384748
6151.1171875 0.44210126159449403  -0.14936310341180992 1.9135897891407012   3.52949464947244   0.90100811205579
6201.1171875  0.4417136279988445  -0.15643518902899878 1.9197688620398594  3.559787831391759 0.9009539271369111
6251.1171875 0.44132952746311827   -0.1633743161803043 1.9261275498838017 3.5901099454183623 0.9009578393097444
6301.1171875  0.4409500106402522  -0.17020769773528777 1.9322947204184402 3.6194456988956745 0.9010178747021982
6351.1171875  0.4405761281831837   -0.1769625465635034  1.937899241389914 3.6467797991666657 0.9011320594421801
6401.1171875 0.44020893074484957  -0.18366607553450898 1.9425699805440786  3.671096953574761 0.9012984196575977
6451.1171875 0.43984946897818666  -0.19034549751785512 1.9459358056269593   3.69138186946293 0.9015149814763586
6501.1171875 0.43949879353613186  -0.19702802538308894 1.9476255843846957 3.7066192541749388 0.9017797710263702
6551.1171875  0.4391579550716227   -0.2037408719997824 1.9472681845631996 3.7157938150537575 0.9020908144355406
6601.1171875  0.4388280042375956  -0.21051125023747197 1.9444924739084968 3.7178902594425836 0.9024461378317765
6651.1171875  0.4385099916869879  -0.21736637296572248 1.9389273201666128  3.711893294685069 0.9028437673429859
6701.1171875  0.4382049680727367   -0.2243334530540917 1.9302015910835735 3.6967876281241843 0.9032817290970763
6751.1171875  0.4379139840477786  -0.23143970337212316 1.9179441544054612  3.671557967103354 0.9037580492219552
6801.1171875 0.43763809026505074  -0.23871233678937465  1.901783877878131  3.635189018965548 0.9042707538455299
6851.1171875  0.4373783373774902  -0.24617856617540745 1.8813496292476657 3.5866654910544185 0.9048178690957083
6901.1171875  0.4371357760380339   -0.2538656043997687 1.8562702762601475  3.524972090713163 0.9053974211003988
6951.1171875  0.4369114568996191  -0.26180066433200544 1.8261746866614317 3.4490935252849795 0.9060074359875072
