# $Revision: 3 $
# $Author: brianai $
# $Date: 2016-05-30 14:29:55 -0500 (Mon, 30 May 2016) $
# lambda    approx_x	active
8264.522    	27 	0.14 	Ar
8521.442        258   	1.00 	Ar
8667.944        388   	0.34 	Ar
9224.499        881   	0.85 	Ar
9657.786        1264  	0.16 	Ar
#9784.503       	1378  	0.02 	Ar
10139.76 	1696 	0.16 	Hg
