            wave                x_0                  y_0              gamma              alpha              ratio
---------------- ------------------ -------------------- ------------------ ------------------ ------------------
6454.60302734375 1.1752950840324328 -0.11268780334287065  3.132415664822261  6.277520700887415 1.0090005910744395
6504.60302734375 1.1773885132150657 -0.11983328876699595  3.100220456018903  6.230201802021888  1.008947853470184
6554.60302734375 1.1793016912150378 -0.12701513273218978 3.0700340196360543  6.182475411916691 1.0089428857688718
6604.60302734375 1.1810408484382595  -0.1342201508040155 3.0417441210022815  6.134445543788637 1.0089845687556687
6654.60302734375 1.1826122152906287 -0.14143515854802935  3.015238525446179  6.086216210854609 1.0090717832157403
6704.60302734375 1.1840220221780502 -0.14864697152979112   2.99040499829637   6.03789142633142 1.0092034099342526
6754.60302734375 1.1852764995064309 -0.15584240531485527  2.967131304881562  5.989575203435869 1.0093783296963712
6804.60302734375  1.186381877681674 -0.16300827546878516  2.945305210530236  5.941371555384883 1.0095954232872608
6854.60302734375 1.1873443871096825 -0.17013139755713702 2.9248144805711007  5.893384495395203 1.0098535714920882
6904.60302734375 1.1881702581963616 -0.17719858714547065   2.90554688033275  5.845718036683714 1.0101516550960195
6954.60302734375 1.1888657213476126 -0.18419665979934585   2.88739017514375 5.7984761924673265 1.0104885548842195
7004.60302734375  1.189437006969344 -0.19111243108431886 2.8702321303327807  5.751762975962727 1.0108631516418538
7054.60302734375 1.1898903454674574 -0.19793271656594236  2.853960511228408  5.705682400386941 1.0112743261540889
7104.60302734375 1.1902319672478576 -0.20464433180978325 2.8384630831592546  5.660338478956653 1.0117209592060892
7154.60302734375  1.190468102716446  -0.2112340923813978  2.823627611453972  5.615835224888748 1.0122019315830213
7204.60302734375 1.1906049822791314  -0.2176888138463493 2.8093418614411547  5.572276651400109  1.012716124070051
7254.60302734375 1.1906488363418148  -0.2239953117701834 2.7954935984493687  5.529766771707536 1.0132624174523446
7304.60302734375 1.1906058953104015 -0.23014040171846695 2.7819705878073506  5.488409599027854  1.013839692515066
7354.60302734375 1.1904823895907946 -0.23611089925675977  2.768660594843581  5.448309146577948 1.0144468300433822
7404.60302734375 1.1902845495888972  -0.2418936199506181   2.75545138488674  5.409569427574645  1.015082710822458
7454.60302734375  1.190018605710618 -0.24747537936559816 2.7422307232654504  5.372294455234773 1.0157462156374601
7504.60302734375 1.1896907883618546  -0.2528429930672669 2.7288863753083348  5.336588242775157  1.016436225273554
7554.60302734375 1.1893073279485158  -0.2579832766211734 2.7153061063439026  5.302554803412683 1.0171516205159048
7604.60302734375 1.1888744548765047 -0.26288304559287745 2.7013776817009187   5.27029815036412 1.0178912821496786
7654.60302734375 1.1883983995517227  -0.2675291155479389 2.6869888667078925   5.23992229684638 1.0186540909600408
7704.60302734375   1.18788539238008 -0.27190830205192107 2.6720274266935036  5.211531256076263 1.0194389277321576
7754.60302734375 1.1873416637674765  -0.2760074206703731 2.6563811269863464 5.1852290412705955 1.0202446732511936
7804.60302734375 1.1867734441198117  -0.2798132869688619 2.6399377329150724  5.161119665646289 1.0210702083023155
7854.60302734375 1.1861869638430012  -0.2833127165129401  2.622585009808134 5.1393071424200585 1.0219144136706892
7904.60302734375 1.1855884533429375  -0.2864925248681711 2.6042107229944094    5.1198954848089 1.0227761701414801
7954.60302734375  1.184984143025531 -0.28933952760011117  2.584702637802266 5.1029887060295565 1.0236543584998532
8004.60302734375 1.1843802632966867  -0.2918405402743165  2.563948519560441  5.088690819298883 1.0245478595309756
8054.60302734375 1.1837830445623077  -0.2939823784563469 2.5418361335975277  5.077105837833706  1.025455554020011
8104.60302734375 1.1831987172282918  -0.2957518577117657 2.5182532452422066  5.068337774850882 1.0263763227521265
8154.60302734375 1.1826335117005495  -0.2971357936061221 2.4930876198229583  5.062490643567237  1.027309046512488
8204.60302734375 1.1820936583849857 -0.29812100170497935 2.4662270226684626  5.059668457199656 1.0282526060862607
8254.60302734375    1.1815853876875  -0.2986942975738973 2.4375592191073707  5.059975228964909   1.02920588225861
8304.60302734375 1.1811149300139991  -0.2988424967784358 2.4069719744683056  5.063514972079879 1.0301677558147022
8354.60302734375   1.18068851577039 -0.29855241488415096  2.374353054079748  5.070391699761423  1.031137107539702
8404.60302734375  1.180312375362572  -0.2978108674566027 2.3395902232704913  5.080709425226338 1.0321128182187762
