              wave               response
------------------ ----------------------
            4655.0  5.187192202614915e-11
 4656.116763565891 5.1609830675157904e-11
4657.2335271317825  5.134773932416645e-11
 4658.350290697674   5.10856479731752e-11
 4659.467054263565 5.0823556622183747e-11
 4660.583817829456   5.05614652711925e-11
 4661.700581395347 5.0299373920201044e-11
 4662.817344961239 5.0037282569209796e-11
  4663.93410852713  4.977519121821834e-11
 4665.050872093021 4.9513099867226886e-11
 4666.167635658912  4.981137585108688e-11
 4667.284399224804  4.908933830346614e-11
 4668.401162790695 4.8511105587851845e-11
 4669.517926356586  4.791353285146422e-11
 4670.634689922477 4.7961014370966464e-11
4671.7514534883685  4.789125678078141e-11
  4672.86821705426  4.771745609150982e-11
 4673.984980620151  4.749285040961424e-11
 4675.101744186042  4.726022772867362e-11
 4676.218507751933  4.706781639233258e-11
 4677.335271317825 4.6906029411790676e-11
 4678.452034883716 4.6776156121766146e-11
 4679.568798449607  4.663519290519966e-11
 4680.685562015498 4.6521014139746266e-11
  4681.80232558139  4.640180947177788e-11
 4682.919089147281 4.6289126725763845e-11
 4684.035852713172  4.620385685544856e-11
 4685.152616279063  4.608861658984172e-11
4686.2693798449545 4.5965433501096255e-11
 4687.386143410846  4.584656612246915e-11
 4688.502906976737  4.572769874384205e-11
 4689.619670542628  4.560883136521495e-11
4690.7364341085195 4.5489963986587856e-11
 4691.853197674411 4.5371096607960735e-11
 4692.969961240302  4.525222922933365e-11
 4694.086724806193  4.513336185070654e-11
 4695.203488372084 4.5014494472079463e-11
 4696.320251937976  4.489562709345234e-11
 4697.437015503867  4.477675971482525e-11
 4698.553779069758  4.465789233619814e-11
 4699.670542635649  4.453902495757104e-11
 4700.787306201541 4.4415908652821625e-11
 4701.904069767432 4.4296830786794033e-11
 4703.020833333323 4.4173115076736805e-11
 4704.137596899214  4.404384131763986e-11
4705.2543604651055  4.393093091749704e-11
 4706.371124030997 4.3796233797443873e-11
 4707.487887596888  4.368343451790675e-11
 4708.604651162779  4.357284002025239e-11
  4709.72141472867 4.3464450304480797e-11
 4710.838178294562  4.334256088816154e-11
 4711.954941860453 4.3240804891700664e-11
 4713.071705426344 4.3141502784169147e-11
 4714.188468992235 4.3045930000894705e-11
 4715.305232558127 4.2954086541877344e-11
 4716.421996124018 4.2865972407117066e-11
 4717.538759689909 4.2785836522736176e-11
   4718.6555232558 4.2705391523890546e-11
4719.7722868216915 4.2633313693331634e-11
 4720.889050387583 4.2570523236069514e-11
 4722.005813953474  4.249509874411035e-11
 4723.122577519365  4.244519029631862e-11
4724.2393410852565  4.237711333226792e-11
 4725.356104651148 4.2310560910591535e-11
 4726.472868217039 4.2245533031289453e-11
  4727.58963178293  4.219773417679213e-11
 4728.706395348821   4.21335312266935e-11
 4729.823158914713 4.2070603711922587e-11
 4730.939922480604  4.200767619715167e-11
 4732.056686046495  4.194474868238076e-11
 4733.173449612386  4.188182116760985e-11
 4734.290213178278  4.181889365283894e-11
 4735.406976744169  4.175596613806804e-11
  4736.52374031006  4.169303862329713e-11
 4737.640503875951  4.163011110852622e-11
4738.7572674418425  4.157039361352259e-11
 4739.874031007734 4.1512137488817575e-11
 4740.990794573625  4.144115524923622e-11
 4742.107558139516  4.137558557082712e-11
 4743.224321705407  4.131160298943084e-11
 4744.341085271299  4.124741507823328e-11
  4745.45784883719  4.118302183723443e-11
