# $Id$
# $Revision$
# $Author$
# $Date$
# IFUSLOT X_FP   Y_FP   SPECID SPECSLOT IFUID IFUROT  PLATESC
000	   0.000	   0.000	900	900	900	0.000	1.000
#013	-450.000	 150.000	000	241	043	0.000	1.000
#014	-450.000	  50.000	000	221	077	0.000	1.000
#015	-450.000	 -50.000	000	224	038	0.000	1.000
#016	-450.000	-150.000	000	242	036	0.000	1.000
021	-350.000	 350.000	315	218	073	0.000	1.000
022	-350.000	 250.000	316	247	052	0.000	1.000
023	-350.000	 150.000	313	255	010	0.000	1.000
024	-350.000	  50.000	317	234	039	0.000	1.000
025	-350.000	 -50.000	303	254	013	0.000	1.000
026	-350.000	-150.000	318	244	078	0.000	1.000
027	-350.000	-250.000	314	253	011	0.000	1.000
#028	-350.000	-350.000	000	252	042	0.000	1.000
#030	-250.000	 450.000	000	212	050	0.000	1.000
#031	-250.000	 350.000	000	211	049	0.000	1.000
032	-250.000	 250.000	320	236	020	0.000	1.000
033	-250.000	 150.000	310	257	002	0.000	1.000
034	-250.000	  50.000	305	248	056	0.000	1.000
035	-250.000	 -50.000	202	238	074	0.000	1.000
036	-250.000	-150.000	302	235	041	0.000	1.000
037	-250.000	-250.000	306	228	057	0.000	1.000
#038	-250.000	-350.000	000	251	035	0.000	1.000
#039	-250.000	-450.000	000	225	053	0.000	1.000
#040	-150.000	 450.000	000	217	046	0.000	1.000
#041	-150.000	 350.000	000	226	021	0.000	1.000
042	-150.000	 250.000	321	243	030	0.000	1.000
043	-150.000	 150.000	323	231	040	0.000	1.000
044	-150.000	  50.000	304	256	045	0.000	1.000
045	-150.000	 -50.000	312	237	065	0.000	1.000
046	-150.000	-150.000	309	258	005	0.000	1.000
047	-150.000	-250.000	308	227	024	0.000	1.000
#048	-150.000	-350.000	000	223	067	0.000	1.000
#049	-150.000	-450.000	000	222	059	0.000	1.000
#050	 -50.000	 450.000	000	000	000	0.000	1.000
#051	 -50.000	 350.000	000	000	000	0.000	1.000
052	 -50.000	 250.000	301	233	072	0.000	1.000
053	 -50.000	 150.000	311	245	025	0.000	1.000
#054	 -50.000	  50.000	000	000	000	0.000	1.000
#055	 -50.000	 -50.000	000	000	000	0.000	1.000
#057	 -50.000	-250.000	000	000	000	0.000	1.000
#058	 -50.000	-350.000	000	000	000	0.000	1.000
#059	 -50.000	-450.000	000	000	000	0.000	1.000
#060	  50.000	 450.000	000	000	000	0.000	1.000
#061	  50.000	 350.000	000	000	000	0.000	1.000
062	  50.000	 250.000	324	156	055	0.000	1.000
063	  50.000	 150.000	322	128	062	0.000	1.000
#064	  50.000	  50.000	000	000	000	0.000	1.000
#065	  50.000	 -50.000	000	000	000	0.000	1.000
#067	  50.000	-250.000	000	113	058	0.000	1.000
#068	  50.000	-350.000	000	000	000	0.000	1.000
#069	  50.000	-450.000	000	000	000	0.000	1.000
#070	 150.000	 450.000	000	000	000	0.000	1.000
#071	 150.000	 350.000	000	000	000	0.000	1.000
072	 150.000	 250.000	325	147	044	0.000	1.000
073	 150.000	 150.000	203	151	031	0.000	1.000
074	 150.000	  50.000	307	131	076	0.000	1.000
075	 150.000	 -50.000	047	132	075	0.000	1.000
076	 150.000	-150.000	025	154	032	0.000	1.000
077	 150.000	-250.000	204	145	037	0.000	1.000
#078	 150.000	-350.000	000	000	000	0.000	1.000
#079	 150.000	-450.000	000	000	000	0.000	1.000
#080	 250.000	 450.000	000	000	000	0.000	1.000
#081	 250.000	 350.000	000	000	000	0.000	1.000
082	 250.000	 250.000	326	146	034	0.000	1.000
083	 250.000	 150.000	319	137	023	0.000	1.000
084	 250.000	  50.000	041	133	015	0.000	1.000
085	 250.000	 -50.000	027	122	001	0.000	1.000
086	 250.000	-150.000	017	135	022	0.000	1.000
087	 250.000	-250.000	328	112	048	0.000	1.000
#088	 250.000	-350.000	000	000	000	0.000	1.000
#089	 250.000	-450.000	000	000	000	0.000	1.000
#091	 350.000	 350.000	000	000	000	0.000	1.000
092	 350.000	 250.000	327	118	017	0.000	1.000
093	 350.000	 150.000	008	157	054	0.000	1.000
#094	 350.000	  50.000	000	155	028	0.000	1.000
095	 350.000	 -50.000	020	158	004	0.000	1.000
#096	 350.000	-150.000	000	134	014	0.000	1.000
097	 350.000	-250.000	329	144	029	0.000	1.000
#098	 350.000	-350.000	000	000	000	0.000	1.000
103	 450.000	 150.000	013	152	019	0.000	1.000
104	 450.000	  50.000	016	153	026	0.000	1.000
105	 450.000	 -50.000	051	138	051	0.000	1.000
106	 450.000	-150.000	012	136	033	0.000	1.000
056	 -50.000	-150.000	998	998	998	0.000	1.000
066	  50.000	-150.000	999	999	999	0.000	1.000
555	   0.700	 -73.130	901	901	901	0.000	1.000
600	 -35.800	  12.300	902	902	902	0.000	1.000
601	 -62.400	 -16.100	903	903	903	0.000	1.000
602	 -66.400	 -11.700	904	904	904	0.000	1.000
603	 -25.900	  17.500	905	905	905	0.000	1.000
604	 -29.900	  21.900	906	906	906	0.000	1.000
610	 -56.600	  -6.600	907	907	907	0.000	1.000
611	 -34.000	 -19.000	908	908	908	0.000	1.000
612	 -29.200	 -15.400	909	909	909	0.000	1.000
613	 -25.300	 -11.000	910	910	910	0.000	1.000
614	 -67.000	  16.800	911	911	911	0.000	1.000
615	 -63.200	  21.300	912	912	912	0.000	1.000
616	 -58.300	  24.800	913	913	913	0.000	1.000
