# $Revision: 3 $
# $Author: brianai $
# $Date: 2016-05-30 14:29:55 -0500 (Mon, 30 May 2016) $
# lambda    approx_x	active
4678.149	117 	0.21 	Cd
4799.912	218 	0.60 	Cd
5085.822	456 	1.00 	Cd
5460.735	766 	0.71 	Hg
5769.598	1022 	0.14 	Hg
5790.663	1039 	0.14 	Hg
6438.470 	1581 	0.19 	Cd
6965.430	2035 	0.08 	Ar
