            wave                x_0                  y_0              gamma              alpha              ratio
---------------- ------------------ -------------------- ------------------ ------------------ ------------------
 8253.8896484375 1.0407962126434114 -0.41184453686656886 2.8497451241222507  5.610745787257088 1.0273875638143082
 8303.8896484375 1.0413979050595328  -0.4155798009344669  2.831345916721034  5.584067640368062   1.02194674185359
 8353.8896484375 1.0419891049758234 -0.41923882139921487  2.815967078085805  5.563124511879209 1.0173459409863952
 8403.8896484375 1.0425723339298327 -0.42282306725847585  2.803368420943684  5.547383006981704 1.0135269177882336
 8453.8896484375 1.0431501134590941 -0.42633400750991024  2.793309758022019  5.536309730866492 1.0104314288346146
 8503.8896484375 1.0437249651011544 -0.42977311115117756  2.785550902048385  5.529371288724292 1.0080012307010762
 8553.8896484375 1.0442994103935497  -0.4331418471799373 2.7798516657497885  5.526034285746732 1.0061780799631563
 8603.8896484375 1.0448759708738267  -0.4364416845938517  2.775971861853691 5.5257653271249865 1.0049037331964215
 8653.8896484375 1.0454571680795206 -0.43967409239057753   2.77367130308744  5.528031018050228 1.0041199469763527
 8703.8896484375 1.0460455235481791   -0.442840539567777 2.7727098021782695  5.532297963712949 1.0037684778784879
 8753.8896484375 1.0466435588173384 -0.44594249512311146 2.7728471718535275  5.538032769305005 1.0037910824783367
 8803.8896484375 1.0472537954245416 -0.44898142805423946 2.7738432248405616  5.544702040017114  1.004129517351494
 8853.8896484375  1.047878754907331 -0.45195880735882055 2.7754577738667194  5.551772381040678 1.0047255390734122
 8903.8896484375 1.0485209588032454  -0.4548761020345169  2.777450631659235  5.558710397566642 1.0055209042196864
 8953.8896484375 1.0491829286498262   -0.457734781078988 2.7795816109454563 5.5649826947864085 1.0064573693657977
 9003.8896484375 1.0498671859846185 -0.46053631348989255 2.7816105244528444  5.570055877890695 1.0074766910873407
 9053.8896484375 1.0505762523451574 -0.46328216826489443  2.783297184908406 5.5733965520709035 1.0085206259597683
 9103.8896484375 1.0513126492689897 -0.46597381440164787   2.78440140503983  5.574471322517979 1.0095309305586468
 9153.8896484375 1.0520788982936515  -0.4686127208978186  2.784682997574123  5.572746794423097 1.0104493614594858
 9203.8896484375 1.0528775209566887  -0.4712003567510634   2.78390177523886  5.567689572978111   1.01121767523788
 9253.8896484375   1.05371103879564 -0.47373819095904457  2.781817550761275  5.558766263373059 1.0117776284693107
 9303.8896484375  1.054581973348047 -0.47622769251942154  2.778190136868375  5.545443470799796 1.0120709777292873
 9353.8896484375  1.055492846151451 -0.47867033042985474 2.7727793462880754  5.527187800448814 1.0120394795933763
 9403.8896484375 1.0564461787433943  -0.4810675736880019   2.76534499174727  5.503465857511969  1.011624890637087
 9453.8896484375 1.0574444926614166   -0.483420891291527 2.7556468859734196 5.4737442471799795  1.010768967435986
 9503.8896484375 1.0584903094430602 -0.48573175223808684  2.743444841693531  5.437489574643337  1.009413466565526
 9553.8896484375  1.059586150625863 -0.48800162552534543 2.7284986716355206  5.394168445094806 1.0075001446013303
 9603.8896484375 1.0607345377473718  -0.4902319801509596  2.710568188526395  5.343247463724651 1.0049707581189082
 9653.8896484375 1.0619379923451218 -0.49242428511258973 2.6894132050933877  5.284193235723819 1.0017670636937126
 9703.8896484375 1.0631990359566605 -0.49458000940789804 2.6647935340640743  5.216472366283256 0.9978308179013382
 9753.8896484375 1.0645201901195251  -0.4967006220345431  2.636468988165234  5.139551460594362 0.9931037773172946
 9803.8896484375 1.0659039763712561  -0.4987875919901854 2.6041993801248964  5.052897123848993 0.9875276985171482
 9853.8896484375 1.0673529162493975  -0.5008423882724853 2.5677445226699547  4.955975961237414 0.9810443380764085
 9903.8896484375   1.06886953129149  -0.5028664798791032  2.526864228527643  4.848254577950115  0.973595452570585
 9953.8896484375 1.0704563430350722  -0.5048613358076994  2.481318310425536  4.729199579179863 0.9651227985752158
10003.8896484375 1.0721158730176883  -0.5068284250559327 2.4308665810909815  4.598277570117375 0.9555681326658956
10053.8896484375  1.073850642776877  -0.5087692166214643  2.375268853251214  4.454955155952689 0.9448732114180771
10103.8896484375 1.0756631738501807  -0.5106851795019547 2.3142849396335805  4.298698941878115 0.9329797914072699
10153.8896484375 1.0775559877751417  -0.5125777826950633  2.247674652965202  4.128975533084372 0.9198296292090689
10203.8896484375 1.0795316060893005  -0.5144484951984523  2.175197805973653 3.9452515347624058 0.9053644813989266
10253.8896484375 1.0815925503301995  -0.5162987860097785  2.096614211386054 3.7469935521036177 0.8895261045525515
10303.8896484375 1.0837413420353739  -0.5181301241267042 2.0116836819300943  3.533668190298954 0.8722562552452544
10353.8896484375 1.0859805027423748  -0.5199439785468889 1.9201660303324388 3.3047420545393607 0.8534966900526868
10403.8896484375  1.088312553988734  -0.5217418182679929 1.8218210693208903  3.059681750016466 0.8331891655503298
10453.8896484375 1.0907400173120008  -0.5235251122876776   1.71640861162291  2.797953881921444 0.8112754383137784
10503.8896484375 1.0932654142497087  -0.5252953296035998 1.6036884699651637 2.5190250554452405  0.787697264918485
