# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.332481   0.0024 0.988468  5  0 41  0                                          
0.332749   0.0014 0.988715  5  0 39  0                                          
0.332910   0.0018 0.986571  5  0 41  0                                          
0.332977   0.0006 0.985615  1  0  1  0                                          
0.333111   0.0011 0.984923  5  0 39  0                                          
0.333157   0.0021 0.984626  5  0 41  0                                          
0.333411   0.0010 0.984118  5  0 41  0                                          
0.333578   0.0008 0.976227  5  0 39  0                                          
0.333685   0.0009 0.967209  5  0 41  0                                          
0.336947   0.0019 0.988431  5  0 41  0                                          
0.336987   0.0029 0.987885  5  0 39  0                                          
0.337003   0.0019 0.987508  5  0 39  0                                          
0.337043   0.0016 0.986436  5  0 41  0                                          
0.337108   0.0031 0.984783  5  0 39  0                                          
0.337132   0.0009 0.983449  5  0 39  0                                          
0.337154   0.0028 0.982141  5  0 39  0                                          
0.337304   0.0040 0.976878  5  0 39  0                                          
0.337331   0.0020 0.976899  5  0 39  0                                          
0.337351   0.0028 0.976946  5  0 39  0                                          
0.337416   0.0011 0.978010  5  0 41  0                                          
0.337456   0.0011 0.978991  5  0 41  0                                          
0.337548   0.0047 0.980966  5  0 39  0                                          
0.337572   0.0008 0.981432  5  0 39  0                                          
0.337594   0.0035 0.981837  5  0 39  0                                          
0.337691   0.0019 0.984007  5  0 41  0                                          
0.337736   0.0025 0.984983  5  0 41  0                                          
0.337838   0.0024 0.986832  5  0 39  0                                          
0.337844   0.0020 0.986930  5  0 39  0                                          
0.337858   0.0018 0.987161  5  0 39  0                                          
0.337887   0.0033 0.987639  5  0 39  0                                          
0.337897   0.0009 0.987799  5  0 41  0                                          
0.338072   0.0012 0.990103  5  0 41  0                                          
0.338172   0.0004 0.991803  5  0 39  0                                          
0.338183   0.0013 0.991975  5  0 39  0                                          
0.338196   0.0007 0.992127  5  0 39  0                                          
0.338223   0.0028 0.992352  5  0 39  0                                          
0.338267   0.0013 0.992677  5  0 41  0                                          
0.338282   0.0007 0.992781  5  0 41  0                                          
0.338474   0.0008 0.994419  5  0 41  0                                          
0.338556   0.0010 0.994824  5  0 39  0                                          
0.338571   0.0001 0.994730  5  0 39  0                                          
0.338609   0.0019 0.994997  5  0 39  0                                          
0.338643   0.0013 0.995293  5  0 41  0                                          
0.342131   0.0016 0.996972  5  0 39  0                                          
0.342179   0.0018 0.997032  5  0 39  0                                          
0.342418   0.0014 0.997279  5  0 39  0                                          
0.342467   0.0015 0.997280  5  0 41  0                                          
0.343160   0.0013 0.995961  5  0 39  0                                          
0.343209   0.0012 0.995805  5  0 39  0                                          
0.343557   0.0008 0.995878  5  0 41  0                                          
0.343630   0.0012 0.995683  5  0 41  0                                          
0.343664   0.0044 0.995544  5  0 41  0                                          
0.345084   0.0012 0.996664  5  0 41  0                                          
0.345166   0.0007 0.996868  5  0 39  0                                          
0.345228   0.0016 0.996995  5  0 39  0                                          
0.345251   0.0010 0.997044  5  0 39  0                                          
0.345270   0.0020 0.997081  5  0 39  0                                          
0.345373   0.0027 0.997255  5  0 39  0                                          
0.345399   0.0007 0.997310  5  0 39  0                                          
0.345423   0.0018 0.997361  5  0 39  0                                          
0.345546   0.0017 0.997571  5  0 41  0                                          
0.345572   0.0016 0.997593  5  0 39  0                                          
0.345595   0.0011 0.997607  5  0 39  0                                          
0.345621   0.0015 0.997621  5  0 39  0                                          
0.345708   0.0005 0.997672  5  0 41  0                                          
0.345796   0.0006 0.997764  5  0 41  0                                          
0.345816   0.0027 0.997767  5  0 39  0                                          
0.345840   0.0012 0.997780  5  0 39  0                                          
0.345867   0.0018 0.997822  5  0 39  0                                          
0.346109   0.0028 0.998365  5  0 39  0                                          
0.346133   0.0009 0.998435  5  0 39  0                                          
0.346160   0.0015 0.998501  5  0 39  0                                          
0.346503   0.0014 0.998911  5  0 39  0                                          
0.347896   0.0009 0.998549  5  0 41  0                                          
0.347927   0.0014 0.998618  5  0 41  0                                          
0.347974   0.0016 0.998712  5  0 41  0                                          
0.348003   0.0013 0.998761  5  0 41  0                                          
0.348036   0.0017 0.998813  5  0 41  0                                          
0.348061   0.0019 0.998849  5  0 41  0                                          
0.348096   0.0008 0.998894  5  0 39  0                                          
0.348116   0.0017 0.998917  5  0 41  0                                          
0.348140   0.0009 0.998948  5  0 41  0                                          
0.348158   0.0008 0.998972  5  0 39  0                                          
0.348175   0.0013 0.998995  5  0 39  0                                          
0.348201   0.0019 0.999027  5  0 39  0                                          
0.348214   0.0031 0.999041  5  0 41  0                                          
0.348237   0.0012 0.999066  5  0 41  0                                          
0.348321   0.0018 0.999162  5  0 41  0                                          
0.348346   0.0045 0.999183  5  0 41  0                                          
0.348371   0.0019 0.999199  5  0 39  0                                          
0.348391   0.0024 0.999208  5  0 39  0                                          
0.348449   0.0015 0.999230  5  0 41  0                                          
0.348478   0.0018 0.999244  5  0 41  0                                          
0.348570   0.0026 0.999288  5  0 39  0                                          
0.348594   0.0028 0.999295  5  0 41  0                                          
0.348620   0.0050 0.999301  5  0 39  0                                          
0.348754   0.0011 0.999331  5  0 41  0                                          
0.348785   0.0020 0.999348  5  0 41  0                                          
0.348852   0.0025 0.999388  5  0 39  0                                          
0.348875   0.0016 0.999402  5  0 39  0                                          
0.348902   0.0034 0.999418  5  0 39  0                                          
0.348929   0.0018 0.999434  5  0 41  0                                          
0.348962   0.0018 0.999452  5  0 41  0                                          
0.349158   0.0020 0.999542  5  0 41  0                                          
0.349238   0.0029 0.999556  5  0 39  0                                          
0.349368   0.0015 0.999525  5  0 41  0                                          
0.349595   0.0050 0.999375  5  0 41  0                                          
0.349839   0.0016 0.999385  5  0 41  0                                          
0.350077   0.0013 0.999431  5  0 39  0                                          
0.350336   0.0010 0.999424  5  0 41  0                                          
0.350376   0.0013 0.999430  5  0 41  0                                          
0.350581   0.0008 0.999467  5  0 39  0                                          
0.350632   0.0006 0.999479  5  0 41  0                                          
0.350672   0.0012 0.999482  5  0 41  0                                          
0.350992   0.0009 0.999497  5  0 41  0                                          
0.351085   0.0010 0.999463  5  0 41  0                                          
0.351312   0.0014 0.999027  5  0 41  0                                          
0.351396   0.0004 0.998694  5  0 41  0                                          
0.351822   0.0020 0.998166  1  0  1  0                                          
0.352186   0.0009 0.998792  1  0  1  0                                          
0.354191   0.0011 0.999480  5  0 39  0                                          
0.354343   0.0022 0.999425  5  0 41  0                                          
0.354387   0.0018 0.999412  5  0 41  0                                          
