              wave               response
------------------ ----------------------
            3640.0 1.5043688181745344e-10
 3640.484496124031  1.498055256232766e-10
 3640.968992248062 1.4917416942909894e-10
 3641.453488372093  1.485428132349221e-10
 3641.937984496124 1.4791145704074445e-10
 3642.422480620155 1.4728010084656762e-10
 3642.906976744186  1.466487446523908e-10
 3643.391472868217 1.4601738845821313e-10
 3643.875968992248  1.453860322640363e-10
 3644.360465116279 1.4475467606985864e-10
  3644.84496124031  1.441720180739292e-10
 3645.329457364341  1.435079069467271e-10
 3645.813953488372 1.4285221790200087e-10
 3646.298449612403 1.4220480869242547e-10
 3646.782945736434 1.4156559084710363e-10
 3647.267441860465 1.4093447589513808e-10
 3647.751937984496 1.4031135107950288e-10
 3648.236434108527 1.3969612272513032e-10
 3648.720930232558  1.390886988916762e-10
 3649.205426356589 1.3848897896517887e-10
  3649.68992248062 1.3789686406640023e-10
3650.1744186046512  1.373122726633369e-10
3650.6589147286822 1.3673511455036813e-10
3651.1434108527133 1.3616525615378627e-10
3651.6279069767443 1.3560266798329224e-10
3652.1124031007753 1.3504721993462532e-10
3652.5968992248063 1.3449882180216477e-10
3653.0813953488373  1.339574007275246e-10
3653.5658914728683 1.3342287170925449e-10
3654.0503875968993 1.3289513760283977e-10
3654.5348837209303  1.323740943248719e-10
3655.0193798449613  1.318596898336466e-10
3655.5038759689924 1.3135182351520225e-10
3655.9883720930234 1.3085041557225896e-10
3656.4728682170544 1.3035537232974903e-10
3656.9573643410854 1.2986663480707428e-10
3657.4418604651164  1.293840937166557e-10
3657.9263565891474  1.289076796695543e-10
3658.4108527131784 1.2843732154210752e-10
3658.8953488372094  1.279729308634181e-10
3659.3798449612405  1.275144313056531e-10
3659.8643410852715    1.2706175174515e-10
3660.3488372093025 1.2661479677211762e-10
3660.8333333333335 1.2617351607957517e-10
3661.3178294573645  1.257378107882845e-10
3661.8023255813955 1.2530763059126482e-10
3662.2868217054265  1.248828835481719e-10
3662.7713178294575 1.2446349853534322e-10
3663.2558139534885  1.240494096332867e-10
3663.7403100775196  1.236405543919572e-10
3664.2248062015506 1.2323684434045745e-10
3664.7093023255816 1.2283820488567798e-10
3665.1937984496126 1.2244457878174408e-10
3665.6782945736436 1.2205591398695148e-10
3666.1627906976746 1.2167210294844466e-10
3666.6472868217056  1.212931109717541e-10
3667.1317829457366 1.2091887040266425e-10
3667.6162790697676 1.2054929277027782e-10
3668.1007751937987 1.2018431909399663e-10
3668.5852713178297 1.1982390253628683e-10
3669.0697674418607 1.1946795983042158e-10
3669.5542635658917 1.1911645107776092e-10
3670.0387596899227  1.187692860726841e-10
3670.5232558139537 1.1842642318182772e-10
3671.0077519379847 1.1808778954680577e-10
3671.4922480620157 1.1775332618702006e-10
3671.9767441860467  1.174229897343837e-10
3672.4612403100778 1.1709669692216984e-10
3672.9457364341088  1.167744026475681e-10
  3673.43023255814 1.1645605313415075e-10
 3673.914728682171 1.1614157205408482e-10
 3674.399224806202  1.158309247129008e-10
 3674.883720930233 1.1552403825221269e-10
 3675.368217054264 1.1522087103865708e-10
 3675.852713178295 1.1492136062218883e-10
 3676.337209302326 1.1462545843055061e-10
 3676.821705426357 1.1433308119701557e-10
 3677.306201550388 1.1404421504379592e-10
 3677.790697674419  1.137587905819526e-10
  3678.27519379845 1.1347677138229262e-10
 3678.759689922481 1.1319808458642999e-10
 3679.244186046512 1.1292267641793696e-10
 3679.728682170543 1.1265051044762053e-10
 3680.213178294574 1.1238153983794685e-10
 3680.697674418605 1.1211570734304122e-10
 3681.182170542636 1.1185296786009324e-10
 3681.666666666667 1.1159327628629256e-10
 3682.151162790698 1.1133658231465837e-10
 3682.635658914729 1.1108283216876291e-10
  3683.12015503876 1.1083198594996624e-10
 3683.604651162791 1.1058400029018145e-10
 3684.089147286822 1.1033882141298079e-10
 3684.573643410853 1.1009640595027737e-10
 3685.058139534884  1.098567226770486e-10
 3685.542635658915  1.096197282252076e-10
 3686.027131782946 1.0938534453219795e-10
 3686.511627906977 1.0915356639384921e-10
 3686.996124031008 1.0892434003373364e-10
 3687.480620155039  1.086976307573817e-10
  3687.96511627907 1.0847337784947175e-10
 3688.449612403101 1.0825155008498122e-10
 3688.934108527132 1.0803211450416406e-10
 3689.418604651163 1.0781501733059251e-10
 3689.903100775194  1.076002429517553e-10
 3690.387596899225 1.0738772718288381e-10
 3690.872093023256  1.071774440031259e-10
 3691.356589147287 1.0696935698328858e-10
 3691.841085271318 1.0676341581639104e-10
 3692.325581395349 1.0655958927741072e-10
3692.8100775193802 1.0635786869273023e-10
3693.2945736434112 1.0615816906089925e-10
3693.7790697674423  1.059604973208117e-10
3694.2635658914733 1.0576479102242242e-10
3694.7480620155043 1.0557102761432624e-10
3695.2325581395353 1.0537915852426583e-10
3695.7170542635663 1.0518916987445337e-10
3696.2015503875973 1.0500102523569588e-10
3696.6860465116283 1.0481467950518297e-10
3697.1705426356593 1.0463009972316861e-10
3697.6550387596903 1.0444727548131194e-10
3698.1395348837214 1.0426615473790868e-10
3698.6240310077524 1.0408670973738321e-10
3699.1085271317834 1.0390889884637211e-10
3699.5930232558144 1.0373272206487538e-10
3700.0775193798454 1.0355812735118874e-10
3700.5620155038764 1.0338508174556615e-10
3701.0465116279074 1.0321357310494328e-10
3701.5310077519384 1.0304355285706279e-10
3702.0155038759694 1.0287500018524298e-10
3702.5000000000005 1.0270788039501433e-10
3702.9844961240315  1.025421813433125e-10
3703.4689922480625 1.0237788221345578e-10
3703.9534883720935   1.02214924024846e-10
3704.4379844961245 1.0205330851220662e-10
3704.9224806201555 1.0189298710328032e-10
3705.4069767441865 1.0173395459389667e-10
3705.8914728682175  1.015761728201392e-10
3706.3759689922485 1.0141960882226186e-10
3706.8604651162796 1.0126425739609424e-10
3707.3449612403106 1.0111008905133723e-10
3707.8294573643416 1.0095707256296826e-10
3708.3139534883726 1.0080518711430564e-10
3708.7984496124036 1.0065439974560331e-10
3709.2829457364346 1.0050469484434998e-10
3709.7674418604656 1.0035606547165177e-10
3710.2519379844966 1.0020847519831566e-10
3710.7364341085276   1.00061899738213e-10
3711.2209302325587  9.991630613159774e-11
3711.7054263565897  9.977169264374641e-11
3712.1899224806207  9.962803151908339e-11
3712.6744186046517  9.948529673675655e-11
3713.1589147286827  9.934346748008416e-11
3713.6434108527137  9.920254027961928e-11
3714.1279069767447  9.906247697144543e-11
3714.6124031007757  9.892326194305134e-11
3715.0968992248067   9.87848813166492e-11
3715.5813953488378   9.86473056019399e-11
3716.0658914728688  9.851052092113566e-11
   3716.5503875969  9.837452553951298e-11
 3717.034883720931  9.823926568064412e-11
 3717.519379844962  9.810476389593425e-11
 3718.003875968993  9.797096640895564e-11
 3718.488372093024  9.783787495443175e-11
 3718.972868217055  9.770546871568087e-11
 3719.457364341086  9.757373554963866e-11
 3719.941860465117  9.744265290489995e-11
 3720.426356589148  9.731219302588912e-11
 3720.910852713179  9.718238019873482e-11
  3721.39534883721  9.705315197339193e-11
 3721.879844961241  9.692451702347782e-11
 3722.364341085272  9.679645106286383e-11
 3722.848837209303  9.666894368320911e-11
 3723.333333333334   9.65419914150667e-11
 3723.817829457365  9.641554221673232e-11
 3724.302325581396  9.628964119101635e-11
 3724.786821705427  9.616420507119194e-11
 3725.271317829458  9.603928242951643e-11
 3725.755813953489  9.591482122428552e-11
  3726.24031007752  9.579081451660532e-11
 3726.724806201551  9.566726230647582e-11
 3727.209302325582   9.55441524508327e-11
 3727.693798449613  9.542146760244119e-11
 3728.178294573644   9.52991713321083e-11
 3728.662790697675  9.517728272179227e-11
 3729.147286821706  9.505577575064095e-11
 3729.631782945737  9.493464694920739e-11
 3730.116279069768  9.481387550080989e-11
 3730.600775193799  9.469346140544843e-11
  3731.08527131783  9.457337864227089e-11
 3731.569767441861  9.445362721127726e-11
 3732.054263565892  9.433419496940321e-11
 3732.538759689923  9.421507150830788e-11
 3733.023255813954   9.40962481543739e-11
 3733.507751937985  9.397770409091954e-11
 3733.992248062016  9.385943237905092e-11
 3734.476744186047   9.37414347534915e-11
 3734.961240310078  9.362370254062391e-11
 3735.445736434109  9.350620451542557e-11
3735.9302325581402   9.33889614945782e-11
3736.4147286821712  9.327195786557052e-11
3736.8992248062023    9.3155158933933e-11
3737.3837209302333  9.303858204690041e-11
3737.8682170542643  9.292220291834408e-11
3738.3527131782953  9.280603022188139e-11
3738.8372093023263  9.269004140610715e-11
3739.3217054263573  9.257424687936222e-11
3739.8062015503883  9.245860847773013e-11
3740.2906976744193  9.234314701789259e-11
3740.7751937984503  9.222783821372094e-11
3741.2596899224814  9.211268900410907e-11
3741.7441860465124  9.199768724599267e-11
3742.2286821705434  9.188282253103086e-11
3742.7131782945744  9.176808965505323e-11
3743.1976744186054  9.165347300554849e-11
3743.6821705426364  9.153900033809226e-11
3744.1666666666674  9.142462134570373e-11
3744.6511627906984   9.13103429672768e-11
3745.1356589147294  9.119619122366363e-11
3745.6201550387605   9.10821227467773e-11
3746.1046511627915  9.096814447551171e-11
3746.5891472868225  9.085426334876079e-11
3747.0736434108535  9.074043252899067e-11
3747.5581395348845  9.062669364956477e-11
3748.0426356589155  9.051302242435444e-11
3748.5271317829465  9.039942752697705e-11
3749.0116279069775  9.028587079351613e-11
3749.4961240310085  9.017239212261163e-11
3749.9806201550396  9.005894814617665e-11
3750.4651162790706  8.994557702812767e-11
3750.9496124031016  8.983222325731344e-11
3751.4341085271326  8.971891285458611e-11
3751.9186046511636  8.960564235049873e-11
3752.4031007751946  8.949241174505129e-11
3752.8875968992256  8.937918981322124e-11
3753.3720930232566  8.926600604530766e-11
3753.8565891472877  8.915283962462883e-11
3754.3410852713187  8.903968534701434e-11
3754.8255813953497  8.892655188608156e-11
3755.3100775193807  8.881343056821311e-11
3755.7945736434117    8.8700321393409e-11
3756.2790697674427  8.858720527971098e-11
3756.7635658914737  8.847409437018339e-11
3757.2480620155047  8.836098693010275e-11
3757.7325581395357  8.824788469419254e-11
3758.2170542635668  8.813476684577104e-11
3758.7015503875978  8.802164899734954e-11
 3759.186046511629  8.790852247531067e-11
  3759.67054263566  8.779538554493094e-11
 3760.155038759691  8.768222953259297e-11
 3760.639534883722   8.75690596424672e-11
 3761.124031007753  8.745587240510666e-11
 3761.608527131784  8.734266955523484e-11
 3762.093023255815  8.722945109285174e-11
 3762.577519379846   8.71161996707226e-11
 3763.062015503877  8.700293437080564e-11
 3763.546511627908  8.688964825420697e-11
 3764.031007751939  8.677633611675617e-11
  3764.51550387597  8.666298928483585e-11
